COD_CARRERA;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;NRO_TRIMESTRE;MODALIDAD;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
0800;CI3531;0;99;9;12;9;SM;;;;
0800;CI3611;0;99;9;12;9;SM;;;;
0800;CI3641;0;99;9;12;9;SM;1;4;9;12
0800;CI3661;0;99;9;12;9;SM;1;4;9;12
0800;CI3691;0;99;9;12;9;SM;;;;
0800;CI3711;0;99;9;12;8;SM;;;;
0800;CI3715;0;99;9;12;9;SM;1;4;9;12
0800;CI3721;0;99;9;12;8;SM;;;;
0800;CI3725;0;99;9;12;9;SM;0;99;9;12
0800;CI3791;0;99;9;12;8;SM;;;;
0800;CI3811;0;99;9;12;6;SM;;;;
0800;CI3815;0;99;9;12;6;SM;0;99;9;12
0800;CI3821;0;99;9;12;10;SM;;;;
0800;CI3825;0;99;9;12;8;SM;;;;
0800;CI3881;0;99;9;12;10;SM;;;;
0800;CI3891;0;99;9;12;6;SM;;;;
0800;CI4321;0;99;9;12;8;SM;1;0;7;8
0800;CI4325;0;99;9;12;11;SM;;;;
0800;CI4645;0;99;9;12;10;SM;;;;
0800;CI4721;0;99;9;12;11;SM;0;99;9;12
0800;CI4831;0;99;9;12;12;SM;;;;
0800;CI4835;0;99;9;12;10;SM;;;;
0800;CI4871;0;99;9;12;12;SM;;;;
0800;CI5321;0;99;9;12;14;SM;0;99;9;12
0800;CI6643;0;99;9;12;10;SM;;;;
0800;CO3111;0;99;9;12;7;SM;;;;
0800;CO3131;0;99;9;12;7;SM;;;;
0800;CO3211;0;99;9;12;10;SM;1;4;9;12
0800;CO3311;0;99;9;12;8;SM;;;;
0800;CO3312;0;99;9;12;8;SM;;;;
0800;CO3321;0;99;9;12;8;SM;;;;
0800;CO3411;0;99;9;12;7;SM;;;;
0800;EC4751;0;99;9;12;10;SM;0;99;9;12
0800;EP1301;0;99;9;12;12;SM;0;99;9;12
0800;EP1308;0;99;9;12;13;SM;0;99;9;12
0800;EP1420;0;99;9;12;10;SM;0;99;9;12
0800;EP2301;0;99;9;12;12;SM;0;99;9;12
0800;EP2308;0;99;9;12;14;SM;0;99;9;12
0800;EP3301;0;99;9;12;12;SM;0;99;9;12
0800;EP3308;0;99;9;12;15;SM;1;0;1;3
0800;EP3420;0;99;9;12;13;SM;1;0;1;3
0800;MA2115;0;99;9;12;4;SM;1;1;7;8
0800;MA5637;0;99;9;12;12;SM;1;0;9;12
0800;MA5638;0;99;9;12;13;SM;1;0;9;12
0800;MA6637;0;99;9;12;10;SM;;;;
0800;PS1111;0;99;9;12;11;SM;1;0;1;3
0800;PS1115;0;99;9;12;10;SM;1;0;1;3
0800;PS4312;0;99;9;12;14;SM;;;;
1000;EP1410;0;99;9;12;5;SM;1;0;1;3
1000;EP2410;0;99;9;12;5;SM;1;4;9;12
1000;EP3410;0;99;9;12;5;SM;1;4;9;12
1000;FS2111;0;99;9;12;6;SM;1;1;7;8
1000;FS2181;0;99;9;12;4;SM;;;;
1000;FS2212;0;99;9;12;5;SM;1;1;7;8
1000;FS2233;0;99;9;12;6;SM;1;3;9;12
1000;FS2281;0;99;9;12;5;SM;;;;
1000;FS2282;0;99;9;12;6;SM;;;;
1000;FS3211;0;99;9;12;7;SM;1;1;7;8
1000;FS3212;0;99;9;12;9;SM;1;7;9;12
1000;FS3281;0;99;9;12;7;SM;1;1;7;8
1000;FS3282;0;99;9;12;8;SM;;;;
1000;FS3411;0;99;9;12;7;SM;1;1;7;8
1000;FS3412;0;99;9;12;8;SM;;;;
1000;FS3413;0;99;9;12;9;SM;1;1;7;8
1000;FS3481;0;99;9;12;4;SM;1;1;7;8
1000;FS4111;0;99;9;12;11;SM;;;;
